Area,Year,Population,Data quality rating,Data quality,Type of primary data,Data footnote,Modifications,Modification footnote,Source of gapminder
Afghanistan,1800,"3,280,000",5,Very poor,Arbitrary guess,,,,No data
Afghanistan,1820,"3,280,000",,NA,NA,,NA,,Maddison on-line
Afghanistan,1870,"4,207,000",,NA,NA,,NA,,Maddison on-line
Afghanistan,1913,"5,730,000",,NA,NA,,NA,,Maddison on-line
Afghanistan,1950,"8,150,368",,NA,NA,,NA,,Maddison on-line
Afghanistan,1951,"8,284,473",,NA,NA,,NA,,Maddison on-line
Afghanistan,1952,"8,425,333",,NA,NA,,NA,,Maddison on-line
Afghanistan,1953,"8,573,217",,NA,NA,,NA,,Maddison on-line
Afghanistan,1954,"8,728,408",,NA,NA,,NA,,Maddison on-line
Afghanistan,1955,"8,891,209",,NA,NA,,NA,,Maddison on-line
Afghanistan,1956,"9,061,938",,NA,NA,,NA,,Maddison on-line
Afghanistan,1957,"9,240,934",,NA,NA,,NA,,Maddison on-line
Afghanistan,1958,"9,428,556",,NA,NA,,NA,,Maddison on-line
Afghanistan,1959,"9,624,606",,NA,NA,,NA,,Maddison on-line
Afghanistan,1960,"9,829,450",,NA,NA,,NA,,Maddison on-line
Afghanistan,1961,"10,043,473",,NA,NA,,NA,,Maddison on-line
Afghanistan,1962,"10,267,083",,NA,NA,,NA,,Maddison on-line
Afghanistan,1963,"10,500,711",,NA,NA,,NA,,Maddison on-line
Afghanistan,1964,"10,744,167",,NA,NA,,NA,,Maddison on-line
Afghanistan,1965,"10,997,885",,NA,NA,,NA,,Maddison on-line
Afghanistan,1966,"11,262,324",,NA,NA,,NA,,Maddison on-line
Afghanistan,1967,"11,537,966",,NA,NA,,NA,,Maddison on-line
Afghanistan,1968,"11,825,320",,NA,NA,,NA,,Maddison on-line
Afghanistan,1969,"12,122,740",,NA,NA,,NA,,Maddison on-line
Afghanistan,1970,"12,430,623",,NA,NA,,NA,,Maddison on-line
Afghanistan,1971,"12,749,385",,NA,NA,,NA,,Maddison on-line
Afghanistan,1972,"13,079,460",,NA,NA,,NA,,Maddison on-line
Afghanistan,1973,"13,421,301",,NA,NA,,NA,,Maddison on-line
Afghanistan,1974,"13,772,076",,NA,NA,,NA,,Maddison on-line
Afghanistan,1975,"14,132,019",,NA,NA,,NA,,Maddison on-line
Afghanistan,1976,"14,501,369",,NA,NA,,NA,,Maddison on-line
Afghanistan,1977,"14,880,372",,NA,NA,,NA,,Maddison on-line
Afghanistan,1978,"15,269,281",,NA,NA,,NA,,Maddison on-line
Afghanistan,1979,"15,555,612",,NA,NA,,NA,,Maddison on-line
Afghanistan,1980,"15,112,149",,NA,NA,,NA,,Maddison on-line
Afghanistan,1981,"13,812,973",,NA,NA,,NA,,Maddison on-line
Afghanistan,1982,"12,881,816",,NA,NA,,NA,,Maddison on-line
Afghanistan,1983,"12,934,937",,NA,NA,,NA,,Maddison on-line
Afghanistan,1984,"13,387,737",,NA,NA,,NA,,Maddison on-line
Afghanistan,1985,"13,796,928",,NA,NA,,NA,,Maddison on-line
Afghanistan,1986,"13,856,100",,NA,NA,,NA,,Maddison on-line
Afghanistan,1987,"13,867,957",,NA,NA,,NA,,Maddison on-line
Afghanistan,1988,"14,076,478",,NA,NA,,NA,,Maddison on-line
Afghanistan,1989,"14,511,868",,NA,NA,,NA,,Maddison on-line
Afghanistan,1990,"14,669,339",,NA,NA,,NA,,Maddison on-line
Afghanistan,1991,"14,871,963",,NA,NA,,NA,,Maddison on-line
Afghanistan,1992,"16,317,921",,NA,NA,,NA,,Maddison on-line
Afghanistan,1993,"18,371,583",,NA,NA,,NA,,Maddison on-line
Afghanistan,1994,"19,900,668",,NA,NA,,NA,,Maddison on-line
Afghanistan,1995,"20,881,480",,NA,NA,,NA,,Maddison on-line
Afghanistan,1996,"21,559,923",,NA,NA,,NA,,Maddison on-line
Afghanistan,1997,"22,227,415",,NA,NA,,NA,,Maddison on-line
Afghanistan,1998,"22,912,814",,NA,NA,,NA,,Maddison on-line
Afghanistan,1999,"23,646,128",,NA,NA,,NA,,Maddison on-line
Afghanistan,2000,"23,898,198",,NA,NA,,NA,,Maddison on-line
Afghanistan,2001,"23,997,412",,NA,NA,,NA,,Maddison on-line
Afghanistan,2002,"25,268,405",,NA,NA,,NA,,Maddison on-line
Afghanistan,2003,"27,060,359",,NA,NA,,NA,,Maddison on-line
Afghanistan,2004,"28,513,677",,NA,NA,,NA,,Maddison on-line
Afghanistan,2005,"29,928,987",,NA,NA,,NA,,Maddison on-line
Afghanistan,2006,"31,056,997",,NA,NA,,NA,,Maddison on-line
Afghanistan,2007,"31,889,923",,NA,NA,,NA,,Maddison on-line
Afghanistan,2008,"32,738,376",,NA,NA,,Temporal extrapolation,,Maddison on-line
Afghanistan,2030,"56,322,744",,NA,NA,,Temporal extrapolation,,Maddison on-line
Akrotiri and Dhekelia,1800,"3,710",5,Very poor,NA,,Geographical extrapolation,"Very rough (more than 50 years, in several steps)",Geographical extrapolation
Akrotiri and Dhekelia,2005,"15,700",,NA,NA,,Temporal extrapolation,Minor (10 years or less),CIA World Factbook
Akrotiri and Dhekelia,2008,"15,700",,NA,NA,,Temporal extrapolation,Minor (10 years or less),CIA World Factbook
Albania,1600,"200,000",,NA,NA,,NA,,Maddison on-line
Albania,1700,"300,000",,NA,NA,,NA,,Maddison on-line
Albania,1820,"437,000",,NA,NA,,NA,,Maddison on-line
Albania,1850,"500,000",,NA,NA,,NA,,Maddison on-line
Albania,1870,"603,000",,NA,NA,,NA,,Maddison on-line
Albania,1890,"726,000",,NA,NA,,NA,,Maddison on-line
Albania,1900,"800,000",,NA,NA,,NA,,Maddison on-line
Albania,1910,"874,000",,NA,NA,,NA,,Maddison on-line
Albania,1913,"898,000",,NA,NA,,NA,,Maddison on-line
Albania,1920,"932,000",,NA,NA,,NA,,Maddison on-line
Albania,1921,"937,000",,NA,NA,,NA,,Maddison on-line
Albania,1922,"942,000",,NA,NA,,NA,,Maddison on-line
Albania,1923,"947,000",,NA,NA,,NA,,Maddison on-line
Albania,1924,"952,000",,NA,NA,,NA,,Maddison on-line
Albania,1925,"956,000",,NA,NA,,NA,,Maddison on-line
Albania,1926,"962,000",,NA,NA,,NA,,Maddison on-line
Albania,1927,"967,000",,NA,NA,,NA,,Maddison on-line
Albania,1928,"972,000",,NA,NA,,NA,,Maddison on-line
Albania,1929,"977,000",,NA,NA,,NA,,Maddison on-line
Albania,1930,"982,000",,NA,NA,,NA,,Maddison on-line
Albania,1931,"988,000",,NA,NA,,NA,,Maddison on-line
Albania,1932,"993,000",,NA,NA,,NA,,Maddison on-line
Albania,1933,"998,000",,NA,NA,,NA,,Maddison on-line
Albania,1934,"1,003,000",,NA,NA,,NA,,Maddison on-line
